train_no,train_type,distance_km,departure_date,day_of_week,weather_condition,delay_minutes,is_delayed
22924,Superfast,1500,2025-07-22,Tuesday,Clear,35,0
11020,Express,1800,2026-01-03,Saturday,Clear,44,0
11020,Express,1800,2026-03-18,Wednesday,Clear,1,0
12423,Rajdhani,2100,2025-07-21,Monday,Rainy,19,0
12423,Rajdhani,2100,2025-05-25,Sunday,Stormy,41,0
12951,Rajdhani,1380,2025-08-24,Sunday,Rainy,22,0
12004,Shatabdi,450,2025-09-06,Saturday,Stormy,8,0
12951,Rajdhani,1380,2025-12-22,Monday,Foggy,56,0
12004,Shatabdi,450,2025-08-13,Wednesday,Clear,5,0
12004,Shatabdi,450,2025-08-27,Wednesday,Clear,3,0
11020,Express,1800,2025-09-05,Friday,Foggy,143,1
11020,Express,1800,2026-01-30,Friday,Clear,1,0
12423,Rajdhani,2100,2026-04-12,Sunday,Clear,4,0
12951,Rajdhani,1380,2025-05-02,Friday,Clear,5,0
12423,Rajdhani,2100,2025-12-11,Thursday,Clear,0,0
11020,Express,1800,2026-02-24,Tuesday,Foggy,107,1
22924,Superfast,1500,2025-10-21,Tuesday,Clear,1,0
22924,Superfast,1500,2025-08-08,Friday,Stormy,0,0
12423,Rajdhani,2100,2026-02-24,Tuesday,Clear,0,0
12423,Rajdhani,2100,2025-11-02,Sunday,Foggy,73,1
12004,Shatabdi,450,2025-05-03,Saturday,Clear,1,0
22924,Superfast,1500,2025-04-27,Sunday,Clear,82,1
12004,Shatabdi,450,2025-09-04,Thursday,Rainy,29,0
12423,Rajdhani,2100,2025-04-21,Monday,Clear,7,0
12951,Rajdhani,1380,2026-02-23,Monday,Clear,0,0
22924,Superfast,1500,2025-11-27,Thursday,Stormy,17,0
22924,Superfast,1500,2025-10-31,Friday,Clear,25,0
11020,Express,1800,2025-12-09,Tuesday,Clear,36,0
12423,Rajdhani,2100,2025-07-04,Friday,Clear,6,0
22924,Superfast,1500,2025-04-23,Wednesday,Foggy,143,1
12423,Rajdhani,2100,2025-04-18,Friday,Clear,3,0
22924,Superfast,1500,2025-09-06,Saturday,Stormy,2,0
12423,Rajdhani,2100,2026-01-20,Tuesday,Clear,26,0
12004,Shatabdi,450,2025-10-07,Tuesday,Foggy,40,0
11020,Express,1800,2025-10-27,Monday,Stormy,85,1
12423,Rajdhani,2100,2025-05-06,Tuesday,Rainy,33,0
12951,Rajdhani,1380,2025-07-05,Saturday,Clear,4,0
22924,Superfast,1500,2025-06-03,Tuesday,Clear,3,0
22924,Superfast,1500,2026-01-26,Monday,Clear,4,0
12951,Rajdhani,1380,2025-12-19,Friday,Clear,11,0
12004,Shatabdi,450,2026-02-13,Friday,Foggy,81,1
22924,Superfast,1500,2025-08-03,Sunday,Clear,8,0
12423,Rajdhani,2100,2026-03-20,Friday,Rainy,28,0
11020,Express,1800,2025-11-25,Tuesday,Clear,13,0
12004,Shatabdi,450,2026-02-15,Sunday,Clear,4,0
11020,Express,1800,2025-05-13,Tuesday,Rainy,59,0
11020,Express,1800,2026-03-19,Thursday,Clear,58,0
12423,Rajdhani,2100,2025-11-04,Tuesday,Clear,6,0
12004,Shatabdi,450,2025-08-02,Saturday,Clear,1,0
12004,Shatabdi,450,2025-04-21,Monday,Clear,8,0
22924,Superfast,1500,2025-10-25,Saturday,Foggy,154,1
12951,Rajdhani,1380,2025-06-13,Friday,Clear,0,0
12423,Rajdhani,2100,2025-07-14,Monday,Clear,0,0
22924,Superfast,1500,2025-08-24,Sunday,Clear,3,0
12951,Rajdhani,1380,2025-06-30,Monday,Clear,2,0
12951,Rajdhani,1380,2025-12-18,Thursday,Clear,8,0
12004,Shatabdi,450,2026-02-26,Thursday,Clear,0,0
11020,Express,1800,2025-12-26,Friday,Clear,13,0
11020,Express,1800,2025-11-06,Thursday,Clear,38,0
12951,Rajdhani,1380,2025-05-11,Sunday,Clear,4,0
12423,Rajdhani,2100,2025-09-14,Sunday,Clear,2,0
12004,Shatabdi,450,2025-08-02,Saturday,Foggy,52,0
22924,Superfast,1500,2025-08-10,Sunday,Clear,0,0
22924,Superfast,1500,2026-01-11,Sunday,Clear,5,0
11020,Express,1800,2025-05-08,Thursday,Foggy,83,1
11020,Express,1800,2025-06-19,Thursday,Rainy,55,0
22924,Superfast,1500,2025-12-05,Friday,Clear,5,0
11020,Express,1800,2026-01-20,Tuesday,Rainy,39,0
12004,Shatabdi,450,2026-04-13,Monday,Clear,20,0
12423,Rajdhani,2100,2025-09-10,Wednesday,Clear,3,0
11020,Express,1800,2026-03-29,Sunday,Clear,5,0
22924,Superfast,1500,2025-12-16,Tuesday,Clear,0,0
12423,Rajdhani,2100,2025-05-19,Monday,Stormy,17,0
11020,Express,1800,2025-11-19,Wednesday,Foggy,119,1
12004,Shatabdi,450,2025-06-14,Saturday,Foggy,72,1
12951,Rajdhani,1380,2025-10-03,Friday,Rainy,12,0
22924,Superfast,1500,2025-05-03,Saturday,Clear,1,0
12951,Rajdhani,1380,2025-09-02,Tuesday,Clear,6,0
12004,Shatabdi,450,2026-04-04,Saturday,Clear,6,0
12951,Rajdhani,1380,2025-04-23,Wednesday,Clear,5,0
12951,Rajdhani,1380,2025-04-26,Saturday,Rainy,6,0
12423,Rajdhani,2100,2026-03-08,Sunday,Rainy,9,0
22924,Superfast,1500,2025-06-21,Saturday,Foggy,146,1
12423,Rajdhani,2100,2025-08-28,Thursday,Clear,3,0
22924,Superfast,1500,2026-02-03,Tuesday,Rainy,36,0
12423,Rajdhani,2100,2026-01-08,Thursday,Rainy,30,0
12423,Rajdhani,2100,2025-04-18,Friday,Clear,7,0
11020,Express,1800,2025-07-11,Friday,Foggy,119,1
12004,Shatabdi,450,2025-08-16,Saturday,Clear,10,0
22924,Superfast,1500,2025-09-13,Saturday,Clear,7,0
12951,Rajdhani,1380,2026-02-16,Monday,Foggy,86,1
12004,Shatabdi,450,2025-10-28,Tuesday,Foggy,54,0
12423,Rajdhani,2100,2026-01-27,Tuesday,Clear,16,0
11020,Express,1800,2025-09-17,Wednesday,Clear,5,0
12423,Rajdhani,2100,2026-01-27,Tuesday,Clear,6,0
12951,Rajdhani,1380,2025-04-18,Friday,Foggy,57,0
12423,Rajdhani,2100,2025-09-19,Friday,Clear,4,0
11020,Express,1800,2025-10-14,Tuesday,Clear,11,0
12423,Rajdhani,2100,2025-05-30,Friday,Clear,11,0
12004,Shatabdi,450,2025-07-17,Thursday,Clear,6,0
12951,Rajdhani,1380,2026-02-06,Friday,Clear,13,0
12951,Rajdhani,1380,2026-04-08,Wednesday,Clear,3,0
12951,Rajdhani,1380,2026-02-09,Monday,Rainy,37,0
12004,Shatabdi,450,2026-04-04,Saturday,Foggy,57,0
12423,Rajdhani,2100,2026-03-07,Saturday,Rainy,22,0
12004,Shatabdi,450,2025-05-12,Monday,Clear,13,0
12004,Shatabdi,450,2025-12-26,Friday,Clear,31,0
11020,Express,1800,2025-10-12,Sunday,Foggy,120,1
12004,Shatabdi,450,2025-09-09,Tuesday,Clear,10,0
12951,Rajdhani,1380,2026-02-20,Friday,Clear,3,0
11020,Express,1800,2025-05-08,Thursday,Foggy,111,1
12004,Shatabdi,450,2025-04-30,Wednesday,Clear,0,0
12004,Shatabdi,450,2025-10-09,Thursday,Clear,6,0
11020,Express,1800,2025-10-28,Tuesday,Clear,5,0
12423,Rajdhani,2100,2025-06-15,Sunday,Clear,1,0
12951,Rajdhani,1380,2025-06-01,Sunday,Clear,24,0
22924,Superfast,1500,2025-09-08,Monday,Clear,1,0
12423,Rajdhani,2100,2026-04-08,Wednesday,Clear,6,0
12423,Rajdhani,2100,2025-11-14,Friday,Clear,12,0
12423,Rajdhani,2100,2026-02-12,Thursday,Clear,4,0
12004,Shatabdi,450,2025-05-01,Thursday,Clear,9,0
12951,Rajdhani,1380,2025-10-24,Friday,Clear,4,0
12004,Shatabdi,450,2026-02-26,Thursday,Clear,3,0
12004,Shatabdi,450,2026-01-26,Monday,Clear,17,0
12951,Rajdhani,1380,2025-07-09,Wednesday,Stormy,13,0
12423,Rajdhani,2100,2025-04-21,Monday,Clear,1,0
12004,Shatabdi,450,2025-12-24,Wednesday,Clear,0,0
12423,Rajdhani,2100,2025-06-19,Thursday,Foggy,24,0
12951,Rajdhani,1380,2026-01-29,Thursday,Clear,9,0
12004,Shatabdi,450,2025-09-25,Thursday,Clear,3,0
12951,Rajdhani,1380,2025-04-20,Sunday,Rainy,26,0
12951,Rajdhani,1380,2025-04-15,Tuesday,Foggy,80,1
12004,Shatabdi,450,2025-12-03,Wednesday,Foggy,81,1
22924,Superfast,1500,2025-11-25,Tuesday,Foggy,103,1
12951,Rajdhani,1380,2026-03-21,Saturday,Rainy,17,0
22924,Superfast,1500,2025-08-06,Wednesday,Clear,20,0
12951,Rajdhani,1380,2025-12-06,Saturday,Clear,1,0
12004,Shatabdi,450,2025-04-17,Thursday,Clear,17,0
12951,Rajdhani,1380,2025-11-14,Friday,Rainy,28,0
12423,Rajdhani,2100,2025-05-25,Sunday,Clear,2,0
22924,Superfast,1500,2025-09-25,Thursday,Rainy,59,0
11020,Express,1800,2025-12-06,Saturday,Rainy,42,0
12423,Rajdhani,2100,2025-10-20,Monday,Clear,0,0
11020,Express,1800,2026-02-17,Tuesday,Rainy,16,0
12423,Rajdhani,2100,2026-01-05,Monday,Clear,3,0
22924,Superfast,1500,2025-10-17,Friday,Clear,12,0
12951,Rajdhani,1380,2025-06-07,Saturday,Rainy,38,0
12423,Rajdhani,2100,2026-02-19,Thursday,Clear,0,0
11020,Express,1800,2025-11-26,Wednesday,Foggy,133,1
22924,Superfast,1500,2025-10-31,Friday,Clear,7,0
12423,Rajdhani,2100,2025-07-26,Saturday,Clear,2,0
12004,Shatabdi,450,2025-11-28,Friday,Clear,25,0
12951,Rajdhani,1380,2025-04-25,Friday,Clear,0,0
12004,Shatabdi,450,2026-02-12,Thursday,Clear,22,0
22924,Superfast,1500,2026-02-10,Tuesday,Clear,47,0
12004,Shatabdi,450,2026-01-02,Friday,Rainy,37,0
12423,Rajdhani,2100,2025-10-28,Tuesday,Stormy,17,0
11020,Express,1800,2025-09-03,Wednesday,Rainy,27,0
22924,Superfast,1500,2026-01-20,Tuesday,Clear,37,0
12423,Rajdhani,2100,2025-04-20,Sunday,Clear,19,0
12951,Rajdhani,1380,2026-02-22,Sunday,Foggy,66,1
11020,Express,1800,2025-07-25,Friday,Clear,13,0
12004,Shatabdi,450,2025-07-30,Wednesday,Clear,0,0
12423,Rajdhani,2100,2025-10-01,Wednesday,Clear,9,0
11020,Express,1800,2025-05-22,Thursday,Clear,11,0
12423,Rajdhani,2100,2025-11-09,Sunday,Clear,4,0
11020,Express,1800,2026-02-18,Wednesday,Clear,69,1
12004,Shatabdi,450,2025-12-16,Tuesday,Clear,3,0
12004,Shatabdi,450,2025-05-22,Thursday,Clear,0,0
22924,Superfast,1500,2026-02-25,Wednesday,Clear,14,0
11020,Express,1800,2025-12-08,Monday,Clear,1,0
11020,Express,1800,2025-06-17,Tuesday,Clear,1,0
12951,Rajdhani,1380,2026-03-03,Tuesday,Rainy,23,0
22924,Superfast,1500,2026-02-12,Thursday,Clear,1,0
12004,Shatabdi,450,2026-01-31,Saturday,Rainy,14,0
12004,Shatabdi,450,2025-06-14,Saturday,Rainy,17,0
12423,Rajdhani,2100,2025-12-12,Friday,Clear,1,0
12951,Rajdhani,1380,2026-02-20,Friday,Clear,1,0
12004,Shatabdi,450,2025-12-31,Wednesday,Foggy,74,1
22924,Superfast,1500,2025-04-22,Tuesday,Foggy,187,1
12951,Rajdhani,1380,2026-03-17,Tuesday,Rainy,10,0
12004,Shatabdi,450,2026-01-07,Wednesday,Clear,5,0
22924,Superfast,1500,2025-06-20,Friday,Clear,1,0
22924,Superfast,1500,2026-03-02,Monday,Clear,9,0
12004,Shatabdi,450,2025-11-25,Tuesday,Foggy,82,1
12004,Shatabdi,450,2025-11-25,Tuesday,Clear,3,0
12004,Shatabdi,450,2025-10-06,Monday,Clear,0,0
11020,Express,1800,2025-10-06,Monday,Rainy,51,0
22924,Superfast,1500,2025-08-05,Tuesday,Clear,9,0
12423,Rajdhani,2100,2025-08-06,Wednesday,Foggy,73,1
12423,Rajdhani,2100,2026-01-27,Tuesday,Foggy,99,1
11020,Express,1800,2026-04-01,Wednesday,Clear,2,0
12423,Rajdhani,2100,2026-04-11,Saturday,Clear,19,0
11020,Express,1800,2025-10-21,Tuesday,Rainy,43,0
12951,Rajdhani,1380,2025-09-20,Saturday,Clear,10,0
12951,Rajdhani,1380,2026-04-04,Saturday,Clear,10,0
11020,Express,1800,2026-02-02,Monday,Clear,1,0
12004,Shatabdi,450,2025-08-04,Monday,Clear,0,0
12951,Rajdhani,1380,2025-10-18,Saturday,Clear,12,0
12004,Shatabdi,450,2025-06-26,Thursday,Clear,13,0
11020,Express,1800,2025-06-12,Thursday,Clear,21,0
11020,Express,1800,2026-03-31,Tuesday,Rainy,73,1
22924,Superfast,1500,2025-04-25,Friday,Clear,13,0
22924,Superfast,1500,2025-05-05,Monday,Rainy,34,0
12423,Rajdhani,2100,2025-05-16,Friday,Clear,5,0
12004,Shatabdi,450,2025-06-10,Tuesday,Clear,1,0
12951,Rajdhani,1380,2026-01-23,Friday,Foggy,52,0
22924,Superfast,1500,2025-05-22,Thursday,Clear,26,0
12004,Shatabdi,450,2026-01-26,Monday,Clear,8,0
12004,Shatabdi,450,2025-05-10,Saturday,Foggy,57,0
12951,Rajdhani,1380,2025-04-28,Monday,Rainy,13,0
22924,Superfast,1500,2026-01-19,Monday,Rainy,67,1
11020,Express,1800,2025-09-05,Friday,Clear,2,0
12004,Shatabdi,450,2025-10-04,Saturday,Clear,0,0
12423,Rajdhani,2100,2025-10-11,Saturday,Foggy,60,0
11020,Express,1800,2025-05-29,Thursday,Clear,0,0
22924,Superfast,1500,2025-12-05,Friday,Clear,12,0
22924,Superfast,1500,2026-02-26,Thursday,Rainy,21,0
12423,Rajdhani,2100,2025-11-08,Saturday,Clear,0,0
12951,Rajdhani,1380,2025-07-17,Thursday,Rainy,32,0
22924,Superfast,1500,2026-01-27,Tuesday,Stormy,35,0
12004,Shatabdi,450,2025-11-13,Thursday,Rainy,16,0
11020,Express,1800,2025-09-08,Monday,Clear,22,0
12951,Rajdhani,1380,2026-04-01,Wednesday,Clear,0,0
12423,Rajdhani,2100,2025-06-29,Sunday,Clear,3,0
12951,Rajdhani,1380,2025-09-26,Friday,Clear,8,0
12951,Rajdhani,1380,2025-09-03,Wednesday,Clear,1,0
22924,Superfast,1500,2026-04-08,Wednesday,Rainy,39,0
22924,Superfast,1500,2025-12-31,Wednesday,Rainy,47,0
12951,Rajdhani,1380,2026-03-27,Friday,Foggy,60,0
12004,Shatabdi,450,2025-04-20,Sunday,Rainy,27,0
12004,Shatabdi,450,2025-08-18,Monday,Clear,9,0
12004,Shatabdi,450,2025-04-25,Friday,Clear,1,0
12423,Rajdhani,2100,2025-12-12,Friday,Clear,27,0
11020,Express,1800,2025-10-03,Friday,Clear,23,0
12004,Shatabdi,450,2026-02-07,Saturday,Clear,9,0
12423,Rajdhani,2100,2026-03-31,Tuesday,Clear,5,0
11020,Express,1800,2025-11-01,Saturday,Clear,3,0
22924,Superfast,1500,2026-03-11,Wednesday,Clear,48,0
12951,Rajdhani,1380,2025-05-07,Wednesday,Clear,3,0
11020,Express,1800,2025-05-03,Saturday,Clear,11,0
12004,Shatabdi,450,2025-07-18,Friday,Clear,0,0
12951,Rajdhani,1380,2025-11-27,Thursday,Foggy,84,1
12951,Rajdhani,1380,2025-12-12,Friday,Clear,18,0
11020,Express,1800,2025-08-22,Friday,Rainy,38,0
11020,Express,1800,2025-12-09,Tuesday,Rainy,48,0
12951,Rajdhani,1380,2026-01-31,Saturday,Foggy,73,1
22924,Superfast,1500,2025-07-06,Sunday,Clear,2,0
12004,Shatabdi,450,2026-03-24,Tuesday,Stormy,2,0
12423,Rajdhani,2100,2025-12-30,Tuesday,Clear,11,0
11020,Express,1800,2026-02-08,Sunday,Clear,4,0
12951,Rajdhani,1380,2025-10-25,Saturday,Clear,3,0
12423,Rajdhani,2100,2026-01-04,Sunday,Rainy,14,0
12423,Rajdhani,2100,2026-01-14,Wednesday,Clear,22,0
22924,Superfast,1500,2025-06-16,Monday,Clear,7,0
12004,Shatabdi,450,2025-10-05,Sunday,Rainy,21,0
11020,Express,1800,2025-11-06,Thursday,Clear,11,0
11020,Express,1800,2026-03-13,Friday,Clear,11,0
11020,Express,1800,2026-01-20,Tuesday,Clear,1,0
12423,Rajdhani,2100,2025-12-14,Sunday,Clear,0,0
12004,Shatabdi,450,2025-11-05,Wednesday,Rainy,20,0
12951,Rajdhani,1380,2025-11-15,Saturday,Rainy,7,0
12004,Shatabdi,450,2025-10-08,Wednesday,Clear,5,0
12423,Rajdhani,2100,2026-02-15,Sunday,Rainy,19,0
12951,Rajdhani,1380,2026-03-20,Friday,Clear,8,0
12423,Rajdhani,2100,2025-07-08,Tuesday,Clear,8,0
12951,Rajdhani,1380,2025-08-05,Tuesday,Clear,13,0
22924,Superfast,1500,2025-06-28,Saturday,Clear,23,0
11020,Express,1800,2026-01-27,Tuesday,Rainy,77,1
22924,Superfast,1500,2025-07-12,Saturday,Clear,2,0
22924,Superfast,1500,2025-09-21,Sunday,Clear,30,0
22924,Superfast,1500,2025-12-14,Sunday,Clear,20,0
11020,Express,1800,2025-07-20,Sunday,Clear,5,0
12004,Shatabdi,450,2025-07-04,Friday,Foggy,77,1
12423,Rajdhani,2100,2026-03-10,Tuesday,Clear,2,0
22924,Superfast,1500,2025-11-12,Wednesday,Clear,6,0
12423,Rajdhani,2100,2026-02-23,Monday,Clear,6,0
22924,Superfast,1500,2026-01-29,Thursday,Clear,1,0
12004,Shatabdi,450,2025-08-01,Friday,Rainy,41,0
12951,Rajdhani,1380,2025-08-08,Friday,Foggy,61,1
12423,Rajdhani,2100,2026-02-11,Wednesday,Clear,5,0
12004,Shatabdi,450,2026-03-22,Sunday,Foggy,80,1
22924,Superfast,1500,2026-01-30,Friday,Foggy,129,1
12423,Rajdhani,2100,2025-09-01,Monday,Clear,0,0
12423,Rajdhani,2100,2025-06-04,Wednesday,Rainy,47,0
12951,Rajdhani,1380,2025-09-18,Thursday,Rainy,22,0
11020,Express,1800,2025-07-12,Saturday,Clear,2,0
11020,Express,1800,2025-06-26,Thursday,Rainy,42,0
12423,Rajdhani,2100,2026-02-05,Thursday,Foggy,54,0
22924,Superfast,1500,2025-10-02,Thursday,Clear,15,0
12004,Shatabdi,450,2025-09-01,Monday,Rainy,26,0
22924,Superfast,1500,2026-01-09,Friday,Rainy,41,0
12423,Rajdhani,2100,2025-09-30,Tuesday,Foggy,74,1
12951,Rajdhani,1380,2025-09-12,Friday,Foggy,53,0
12951,Rajdhani,1380,2026-03-24,Tuesday,Clear,7,0
22924,Superfast,1500,2025-12-11,Thursday,Clear,4,0
11020,Express,1800,2025-11-25,Tuesday,Clear,11,0
12423,Rajdhani,2100,2025-09-03,Wednesday,Clear,1,0
12004,Shatabdi,450,2025-08-29,Friday,Clear,7,0
22924,Superfast,1500,2025-12-23,Tuesday,Clear,4,0
12423,Rajdhani,2100,2025-09-06,Saturday,Clear,4,0
22924,Superfast,1500,2025-12-10,Wednesday,Clear,6,0
12004,Shatabdi,450,2025-06-20,Friday,Rainy,19,0
12423,Rajdhani,2100,2026-04-01,Wednesday,Clear,3,0
22924,Superfast,1500,2025-06-22,Sunday,Clear,1,0
22924,Superfast,1500,2026-02-23,Monday,Clear,24,0
12004,Shatabdi,450,2025-09-20,Saturday,Clear,15,0
12951,Rajdhani,1380,2025-06-19,Thursday,Clear,2,0
12004,Shatabdi,450,2026-03-21,Saturday,Rainy,52,0
12951,Rajdhani,1380,2025-07-24,Thursday,Clear,9,0
11020,Express,1800,2026-01-02,Friday,Clear,1,0
12423,Rajdhani,2100,2026-03-12,Thursday,Rainy,23,0
22924,Superfast,1500,2025-06-07,Saturday,Rainy,24,0
11020,Express,1800,2025-08-27,Wednesday,Rainy,63,1
12423,Rajdhani,2100,2026-04-08,Wednesday,Rainy,10,0
12423,Rajdhani,2100,2025-07-06,Sunday,Rainy,13,0
11020,Express,1800,2025-05-21,Wednesday,Clear,0,0
11020,Express,1800,2025-09-11,Thursday,Clear,6,0
12423,Rajdhani,2100,2025-12-27,Saturday,Foggy,71,1
12004,Shatabdi,450,2026-03-02,Monday,Clear,4,0
11020,Express,1800,2026-02-18,Wednesday,Clear,23,0
11020,Express,1800,2025-07-23,Wednesday,Clear,10,0
22924,Superfast,1500,2025-05-25,Sunday,Clear,14,0
12951,Rajdhani,1380,2025-09-18,Thursday,Rainy,19,0
12423,Rajdhani,2100,2025-09-23,Tuesday,Clear,8,0
12951,Rajdhani,1380,2025-11-05,Wednesday,Stormy,7,0
22924,Superfast,1500,2026-01-19,Monday,Clear,5,0
22924,Superfast,1500,2025-08-01,Friday,Foggy,130,1
11020,Express,1800,2025-05-08,Thursday,Rainy,41,0
11020,Express,1800,2025-10-03,Friday,Clear,50,0
11020,Express,1800,2025-09-01,Monday,Foggy,49,0
12423,Rajdhani,2100,2026-02-23,Monday,Foggy,60,0
12004,Shatabdi,450,2026-01-25,Sunday,Clear,11,0
12951,Rajdhani,1380,2026-03-24,Tuesday,Clear,39,0
12423,Rajdhani,2100,2025-06-08,Sunday,Clear,4,0
22924,Superfast,1500,2025-07-21,Monday,Clear,22,0
12004,Shatabdi,450,2026-01-01,Thursday,Rainy,14,0
11020,Express,1800,2025-12-29,Monday,Stormy,25,0
